Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C Time
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20F4 223.00 0.10 3.25 0.00 0.00 20170923104044
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20F8 222.75 0.10 3.50 0.00 0.00 20170923104044
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20FB 222.75 0.10 3.50 0.00 0.00 20170923104044
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20FE 222.75 0.10 3.50 0.00 0.00 20170923104045
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2100 222.75 0.10 3.50 0.00 0.00 20170923104045
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2102 222.75 0.10 3.50 0.00 0.00 20170923104045
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2103 222.75 0.10 3.50 0.00 0.00 20170923104045
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2104 222.50 0.10 3.50 0.00 0.00 20170923104045
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2105 223.00 0.10 3.50 0.00 0.00 20170923104046
B0 0843 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 2106 223.00 0.10 3.50 0.00 0.00 20170923104046
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2107 222.75 0.10 3.50 0.00 0.00 20170923104046
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2107 222.75 0.10 3.50 12.00 0.01 20170923104046
B0 0841 00 00 00 00 00 FF FF 00 FF F836 F83A F83C 2108 223.00 0.11 4.00 12.00 0.01 20170923104046
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2109 222.75 0.11 4.00 12.00 0.01 20170923104046
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2109 222.75 0.10 3.75 12.00 0.01 20170923104047
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 2108 223.00 0.10 3.50 12.00 0.01 20170923104047
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 2105 223.00 0.10 3.25 12.00 0.01 20170923104047
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 2102 222.75 0.10 3.00 12.00 0.01 20170923104047
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20FF 222.75 0.10 2.75 12.00 0.01 20170923104047
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20FB 222.75 0.10 2.50 12.00 0.01 20170923104047
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20F7 222.75 0.10 2.25 12.00 0.03 20170923104048
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20F1 222.50 0.10 2.00 12.00 0.01 20170923104048
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20EC 222.50 0.10 1.75 12.00 0.01 20170923104048
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20E6 222.50 0.10 1.75 12.00 0.01 20170923104048
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20E1 222.75 0.10 1.75 12.00 0.01 20170923104048
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20DD 222.75 0.10 1.75 12.00 0.01 20170923104048
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20D9 222.75 0.10 1.75 12.00 0.01 20170923104049
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20D5 222.75 0.10 1.25 12.00 0.01 20170923104049
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20D2 222.50 0.10 1.50 12.00 0.01 20170923104049
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20CF 222.75 0.10 1.75 12.00 0.03 20170923104049
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20CD 222.75 0.10 2.00 12.00 0.01 20170923104049
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20CA 222.75 0.10 2.25 12.00 0.01 20170923104050
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20C8 222.75 0.10 2.50 12.00 0.01 20170923104050
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20C6 222.50 0.10 2.75 12.00 0.01 20170923104050
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F83C 20C5 222.75 0.10 3.00 12.00 0.01 20170923104050
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20C3 222.75 0.10 3.25 12.00 0.01 20170923104050
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20C2 222.75 0.10 3.50 12.00 0.01 20170923104050
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20C1 222.75 0.10 3.50 12.00 0.01 20170923104051
