Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 Time
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2102 222.75 0.10 3.25 20170923102339
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2101 222.75 0.10 3.25 20170923102340
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2101 222.75 0.10 3.25 20170923102340
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2101 222.75 0.10 3.25 20170923102340
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2100 222.50 0.10 3.25 20170923102340
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2100 222.50 0.10 3.25 20170923102340
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FF 222.50 0.10 3.25 20170923102340
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FF 222.50 0.10 3.25 20170923102341
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FF 223.00 0.10 3.25 20170923102341
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FE 222.75 0.10 3.25 20170923102341
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FE 222.50 0.10 3.25 20170923102341
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FD 222.25 0.10 3.25 20170923102341
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FD 222.75 0.10 3.25 20170923102341
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FD 222.75 0.10 3.25 20170923102341
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FC 222.50 0.10 3.25 20170923102342
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FC 222.50 0.10 3.25 20170923102342
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FB 223.00 0.10 3.25 20170923102342
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FB 222.75 0.10 3.25 20170923102342
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FB 222.75 0.10 3.25 20170923102342
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FA 222.75 0.10 3.25 20170923102342
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FA 222.75 0.10 3.25 20170923102343
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FA 223.00 0.10 3.25 20170923102343
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F9 222.75 0.10 3.25 20170923102343
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F9 222.25 0.10 3.25 20170923102343
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F9 222.50 0.10 3.25 20170923102343
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F9 222.75 0.10 3.25 20170923102343
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F9 222.50 0.10 3.25 20170923102343
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F8 222.75 0.10 3.25 20170923102344
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F8 222.75 0.10 3.25 20170923102344
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F8 222.75 0.10 3.25 20170923102344
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F8 222.50 0.10 3.25 20170923102344
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F8 222.25 0.10 3.25 20170923102344
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F8 222.75 0.10 3.25 20170923102344
